,,,,,,,,,,,,,
,,,,,,,,,Stop 1,,,,
Today,14/03/2024,,,,,, ,,24.27%,"51,500,000","50,000","12,500,000",
Season,Truck owner, , ,Week,Pick up date,District,Status, ,Arrival time at Stop 1,# of farmers,Sector,Site,Volume 1 in kgs
2023A,IZ Service,,,13-Feb,2/17/2023,Gatsibo,#REF!,,09:00,10,Rwimbogo,Rwikiniro,"10,448"
2023A,IZ Service,,,13-Feb,2/17/2023,Gatsibo,#REF!,,06:00,1,Gitoki,Gitoki,"10,295"
2023A,IZ Service,,,13-Feb,2/18/2023,Nyagatare,#REF!,,08:50,6,Matimba,Rwentanga,"8,794"
2023A,Internal,,,13-Feb,2/18/2023,Nyagatare,#REF!,,08:30,4,Musheli,Nyagatabire,"8,993"
2023A,IZ Service,,,13-Feb,2/18/2023,Nyagatare,#REF!,,13:30,1,Musheli,Nyagatabire,"9,678"
2023A,IZ Service,,,13-Feb,2/18/2023,Kayonza,#REF!,,12:40,16,Mukarange,Karambo,"10,275"
2023A,IZ Service,,,20-Feb,2/20/2023,Nyagatare,#REF!,,09:00,8,Matimba,Cyembogo,"9,534"
2023A,IZ Service,,,20-Feb,2/20/2023,Nyagatare,#REF!,,13:30,3,Musheli,Nyagatabire,"10,296"
2023A,IZ Service,,,20-Feb,2/20/2023,Nyagatare,#REF!,,05:45,5,Musheli,Nyagatabire,"10,953"
2023A,IZ Service,,,20-Feb,2/20/2023,Nyagatare,#REF!,,11:20,4,Karangazi,Karangazi,"10,157"
2023A,IZ Service,,,20-Feb,2/20/2023,Rwamagana,#REF!,,09:11,1,Kigabiro,Sovu,"10,415"
2023A,IZ Service,,,20-Feb,2/20/2023,Rwamagana,#REF!,,11:25,1,Kigabiro,Sovu,"10,460"
2023A,IZ Service,,,20-Feb,2/20/2023,Kayonza,#REF!,,08:23,2,Murundi,Rwakabamba,"10,771"
2023A,Internal,,,20-Feb,2/21/2023,Ngoma,#REF!,,12:50,16,Gashanda,Gako,"11,012"
